entity_id,type,unit,2025-10-03T22:00:00.000Z,2025-10-03T23:00:00.000Z,2025-10-04T00:00:00.000Z,2025-10-04T01:00:00.000Z,2025-10-04T02:00:00.000Z,2025-10-04T03:00:00.000Z,2025-10-04T04:00:00.000Z,2025-10-04T05:00:00.000Z,2025-10-04T06:00:00.000Z,2025-10-04T07:00:00.000Z,2025-10-04T08:00:00.000Z,2025-10-04T09:00:00.000Z,2025-10-04T10:00:00.000Z,2025-10-04T11:00:00.000Z,2025-10-04T12:00:00.000Z,2025-10-04T13:00:00.000Z,2025-10-04T14:00:00.000Z,2025-10-04T15:00:00.000Z,2025-10-04T16:00:00.000Z,2025-10-04T17:00:00.000Z,2025-10-04T18:00:00.000Z,2025-10-04T19:00:00.000Z,2025-10-04T20:00:00.000Z,2025-10-04T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,1.2700000000004366,1.6199999999989814,0.15999999999985448,0.26000000000203727,1.5499999999992724,0.2000000000007276,0.27999999999883585,1.639999999999418,0.7999999999992724,0,0,0.27000000000043656,0.09000000000014552,0.3400000000001455,0.1500000000014552,0.020000000000436557,0.7099999999991269,0.3899999999994179,0.42000000000189175,1.0499999999992724,0.6399999999994179,2.2400000000016007,0.32999999999810825,0.22999999999956344
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.29794200000196724,0.3800520000004326,0.03753600000345614,0.06099600000288774,0.363630000003468,0.04692000000250118,0.06568800000150077,0.4698599999992439,0.22920000000158325,0,0,0.07735500000035245,0.025784999999814318,0.07976400000097783,0.035190000000511645,0.004692000000432017,0.1665659999980562,0.09149399999932939,0.09853200000088691,0.24632999999903404,0.15014399999927264,0.5255039999992732,0.07741800000076182,0.05395800000314921
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0.5799999999999272,2.140000000001237,4.949999999998909,3.100000000000364,1.430000000000291,5.6200000000008,3.219999999999345,1.4099999999998545,0.6700000000000728,0.4400000000005093,0.010000000000218279,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.0661199999992732,0.24396000000024287,0.5642999999979565,0.3533999999990556,0.1630200000001878,0.6406799999992927,0.3670799999988503,0.16073999999866828,0.07637999999997191,0.05016000000046006,0.0011400000000776345,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.006000000001222361,0.45499999999810825,0.8760000000002037,3.5570000000006985,4.010999999998603,1.7030000000013388,4.361000000000786,1.558999999997468,0.5780000000013388,0.4010000000016589,0.26599999999962165,0.04199999999764259,0,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,2,3,4,3,7,3,1,1,0,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010240000000294458,0.0010229999999182837,0.001025000000026921,0.001025000000026921,0.0010169999999334323,0.0010160000000496439,0.0010149999999384818,0.001017000000047119,0.0010180000000445943,0.0010209999999233332,1.1518350000000055,1.2286850000000413,1.791168999999968,1.6739489999999932,0.5064560000000711,0.0010219999999208085,0.001017000000047119,0.0010089999999536303,0.0010030000000824657,0.001015999999935957,0.0010200000000395448,0.001015999999935957,0.001025000000026921,0.0010240000000294458
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,1.1200000000008004,1.4200000000000728,0,0.11000000000058208,1.359999999998763,0,0,1.430000000000291,0.7600000000002183,0,0.37000000000080036,3.599999999998545,1.430000000000291,3.850000000000364,0,0.11000000000058208,0.8999999999996362,0.5599999999994907,0.12000000000080036,0,0.10999999999876309,1.3100000000013097,0,0
