entity_id,type,unit,2025-08-31T22:00:00.000Z,2025-08-31T23:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-01T01:00:00.000Z,2025-09-01T02:00:00.000Z,2025-09-01T03:00:00.000Z,2025-09-01T04:00:00.000Z,2025-09-01T05:00:00.000Z,2025-09-01T06:00:00.000Z,2025-09-01T07:00:00.000Z,2025-09-01T08:00:00.000Z,2025-09-01T09:00:00.000Z,2025-09-01T10:00:00.000Z,2025-09-01T11:00:00.000Z,2025-09-01T12:00:00.000Z,2025-09-01T13:00:00.000Z,2025-09-01T14:00:00.000Z,2025-09-01T15:00:00.000Z,2025-09-01T16:00:00.000Z,2025-09-01T17:00:00.000Z,2025-09-01T18:00:00.000Z,2025-09-01T19:00:00.000Z,2025-09-01T20:00:00.000Z,2025-09-01T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.18000000000029104,0.2000000000007276,0.16999999999825377,0.27999999999883585,1.110000000000582,0.2400000000016007,0.2599999999983993,0.06000000000130967,1.5499999999992724,0.2400000000016007,0.07999999999810825,0.010000000002037268,0,0,0.00999999999839929,0,0.00999999999839929,0,0.1500000000014552,0.680000000000291,0.569999999999709,1.0499999999992724,0.9700000000011642,0.4900000000016007
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.04222799999934068,0.04692000000159169,0.03988199999912467,0.06568799999968178,0.2604060000003301,0.05630400000336522,0.060996000001978246,0.017189999999573047,0.44407500000124855,0.06876000000011118,0.022919999998521234,0.0028650000003835885,0,0,0.002864999999474094,0,0.002864999999474094,0,0.04297500000029686,0.19482000000152766,0.13372200000048906,0.24633000000085303,0.22756200000094395,0.11495400000057998
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.09000000000014552,0.020000000000436557,0.7099999999991269,0.680000000000291,1.7700000000004366,9.770000000000437,6.739999999999782,3.779999999998836,4.300000000001091,2.1899999999986903,2.9500000000007276,1.319999999999709,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.010260000000243963,0.002280000000155269,0.08093999999960033,0.07752000000004955,0.2017799999998715,1.1137800000003608,0.7683599999995749,0.43091999999978725,0.49020000000018626,0.24965999999972155,0.3362999999999374,0.1504800000002433,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.08899999999994179,0.10499999999956344,0.41899999999805004,0.6300000000010186,0.977999999999156,3.7710000000006403,2.80199999999968,1.8670000000020082,1.6329999999979918,1.0800000000017462,1.0689999999995052,0.6179999999985739,0.004000000000814907,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,1,1,2,7,6,4,4,2,2,2,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010270000000218715,0.0010280000000193468,0.0010289999999031352,0.0010340000000041982,0.001029000000016822,0.0010220000000344953,0.001025000000026921,0.001019999999925858,0.0010220000000344953,0.0010200000000395448,0.0010149999999384818,0.0010200000000395448,0.0010350000000016735,0.001036999999996624,0.001025000000026921,0.0010280000000193468,0.0010249999999132342,0.0010270000000218715,0.001029000000016822,0.0010240000000294458,0.0010209999999233332,0.0010270000000218715,0.001025000000026921,0.0010220000000344953
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,0.21999999999934516,0.9500000000007276,0.019999999998617568,0,0,1.4600000000009459,0.1000000000003638,0.7999999999992724,0.7800000000006548,0.7299999999995634,0.8500000000003638,1.680000000000291,0.7399999999997817,0.7899999999990541,0.010000000000218279,0.28000000000065484,0.22999999999956344,0.12000000000080036,0.019999999998617568,0,0
